vehicle_type,speed,heading,zone_type,gps_confidence,road_health,distance_to_polygon,hour_of_day,risk_category
Bike,68.2,233.4,Hairpin,0.807,31.5,0.0,2,HIGH
Container,13.4,108.9,Construction,0.878,99.7,0.0,16,MEDIUM
Car,67.7,109.9,None,0.71,50.5,664.4,13,LOW
Bike,40.5,148.7,None,0.769,47.5,1495.9,19,LOW
Police,2.1,93.3,Hairpin,0.736,11.1,0.0,8,HIGH
Tanker,107.3,287.8,None,0.752,50.9,2548.6,22,MEDIUM
Car,10.8,175.3,Bridge,0.932,43.8,79.5,5,LOW
Car,50.5,281.8,None,0.6,32.9,2538.5,2,LOW
Truck,4.2,323.7,None,0.964,67.3,1880.4,3,LOW
Bus,7.3,186.1,None,0.938,13.8,345.9,22,MEDIUM
Tanker,78.8,25.9,None,0.906,69.5,637.1,15,LOW
Lorry,19.2,35.3,None,0.818,17.4,2906.8,17,LOW
Lorry,32.5,276.2,Flood,0.413,65.4,0.0,8,HIGH
Ambulance,70.8,190.4,None,0.625,62.4,2269.4,16,LOW
Car,89.3,235.7,None,0.93,43.5,1353.0,23,MEDIUM
Auto,48.3,220.0,None,0.869,35.7,2466.2,4,LOW
Police,94.8,303.9,None,0.789,85.8,2212.6,10,LOW
Bike,85.4,235.6,None,0.974,13.9,578.0,14,MEDIUM
Lorry,14.5,260.6,Bridge,0.702,76.0,108.9,12,LOW
Ambulance,64.9,182.5,Hairpin,0.689,51.5,0.0,23,HIGH
Ambulance,27.1,260.8,None,0.901,28.4,1709.7,21,LOW
Bus,80.6,221.1,None,0.548,10.5,2306.9,1,MEDIUM
Auto,3.9,267.7,None,0.821,23.4,986.3,3,LOW
Police,96.4,357.7,Construction,0.605,63.4,78.9,14,MEDIUM
Bus,45.4,249.7,None,0.979,18.4,1805.8,20,LOW
Truck,52.9,230.6,None,0.711,64.3,2061.8,8,LOW
Ambulance,88.5,96.9,Hospital,0.972,40.1,0.0,21,HIGH
Ambulance,77.8,283.1,None,0.963,49.1,356.9,20,LOW
Police,24.3,214.8,Hairpin,0.951,80.7,24.5,2,MEDIUM
Tanker,45.1,301.5,Bridge,0.709,42.6,67.6,2,MEDIUM
Truck,2.9,8.7,Construction,0.898,94.7,0.0,5,MEDIUM
Car,47.3,313.3,Hairpin,0.555,53.5,0.0,1,HIGH
Container,8.9,261.3,None,0.506,24.3,1869.7,4,MEDIUM
Ambulance,14.9,269.7,Accident,0.828,32.2,0.0,5,MEDIUM
Ambulance,27.5,97.6,Bridge,0.575,53.9,0.0,18,LOW
Police,6.9,325.4,None,0.675,12.0,2025.0,14,LOW
Car,106.0,201.1,None,0.815,33.1,1997.1,9,MEDIUM
Bus,21.8,203.0,Hospital,0.873,20.3,0.0,11,HIGH
Tanker,24.8,90.1,None,0.677,87.4,2196.2,22,LOW
Tanker,7.4,254.1,RoadBlock,0.765,24.9,0.0,15,MEDIUM
Ambulance,93.5,240.2,None,0.841,15.6,1586.3,18,MEDIUM
Tanker,88.7,164.9,School,0.915,78.1,104.4,12,MEDIUM
Auto,22.5,315.1,Hairpin,0.982,12.4,14.0,23,MEDIUM
Tanker,51.0,326.4,Bridge,0.89,96.8,41.5,11,LOW
Lorry,57.6,103.1,None,0.653,45.6,2753.8,21,LOW
Bus,58.6,56.7,Construction,0.949,91.6,56.1,20,LOW
Police,108.2,50.5,Hairpin,0.967,65.4,17.6,11,MEDIUM
Truck,97.1,288.5,None,0.877,70.1,1940.5,10,MEDIUM
Bus,18.3,316.6,RoadBlock,0.695,90.1,0.0,17,MEDIUM
Container,80.5,67.3,None,0.925,38.3,1466.4,5,MEDIUM
Police,90.4,164.9,None,0.749,25.6,2164.8,23,MEDIUM
Truck,90.9,36.1,None,0.893,77.4,1988.3,2,MEDIUM
Lorry,68.3,126.5,None,0.694,21.4,2060.9,17,MEDIUM
Ambulance,35.8,246.4,School,0.799,85.3,0.0,17,MEDIUM
Container,70.7,249.2,None,0.947,37.4,1994.2,18,LOW
Container,103.2,312.8,Construction,0.677,91.6,134.5,7,MEDIUM
Auto,61.6,39.8,None,0.761,44.2,2932.7,19,LOW
Truck,12.2,151.7,None,0.784,87.3,947.4,22,LOW
Ambulance,100.2,270.7,Construction,0.952,35.3,0.0,1,HIGH
Tanker,12.4,252.6,None,0.917,52.2,973.7,3,LOW
Bike,65.8,106.7,Flood,0.654,26.7,0.0,14,MEDIUM
Bike,26.3,285.3,None,0.91,84.8,1837.0,18,LOW
Bus,12.6,33.7,None,0.782,61.5,1600.6,20,LOW
Police,47.3,113.8,None,0.803,49.9,1860.6,8,LOW
Container,69.4,212.4,RoadBlock,0.898,44.6,0.0,14,HIGH
Container,71.7,341.2,Construction,0.687,16.4,51.6,11,MEDIUM
Container,39.8,169.6,Hairpin,0.947,39.8,0.0,8,MEDIUM
Truck,21.6,219.3,None,0.779,10.7,735.3,2,MEDIUM
Auto,4.0,38.8,School,0.644,36.4,0.0,10,MEDIUM
Bus,43.7,31.3,RoadBlock,0.932,88.7,0.0,17,MEDIUM
Lorry,77.2,356.4,Bridge,0.897,47.0,0.0,4,MEDIUM
Auto,78.5,218.2,School,0.811,15.4,0.0,4,HIGH
Bike,75.5,41.1,None,0.998,47.7,2278.4,5,LOW
Car,7.8,28.8,Flood,0.76,42.6,0.0,11,MEDIUM
Lorry,1.1,228.4,None,0.731,20.9,2717.1,0,MEDIUM
Car,7.3,191.7,Flood,0.864,53.7,115.9,13,LOW
Truck,4.8,44.2,None,0.614,86.1,2108.2,14,LOW
Bike,47.3,241.6,Construction,0.583,81.9,0.0,16,MEDIUM
Auto,94.3,329.1,Hairpin,0.647,64.1,141.4,21,MEDIUM
Police,75.7,134.5,School,0.905,41.1,0.0,15,HIGH
Ambulance,2.8,231.9,Construction,0.905,38.0,0.0,22,MEDIUM
Truck,66.6,130.9,Hospital,0.834,22.6,0.0,19,HIGH
Bus,3.0,181.5,None,0.911,44.9,564.1,19,LOW
Bike,2.6,271.5,None,0.747,96.0,1010.5,12,LOW
Bike,97.7,216.5,None,0.84,40.6,1670.1,14,MEDIUM
Ambulance,17.0,198.8,Construction,0.78,37.2,52.6,3,MEDIUM
Bike,21.4,20.7,RoadBlock,0.996,22.5,0.0,14,MEDIUM
Ambulance,68.9,175.5,None,0.734,28.1,1245.9,14,LOW
Truck,4.3,170.7,None,0.902,88.3,478.9,13,LOW
Tanker,87.0,44.8,None,0.784,23.4,1441.8,4,MEDIUM
Police,107.9,173.5,Hospital,0.989,28.3,0.0,2,HIGH
Truck,42.5,183.5,None,0.778,46.7,2499.8,4,MEDIUM
Auto,84.1,205.9,None,0.881,49.5,2556.2,21,LOW
Container,98.2,22.4,None,0.738,93.4,155.4,23,MEDIUM
Tanker,52.5,246.9,None,0.699,42.3,2432.9,11,LOW
Bike,30.7,75.6,RoadBlock,0.728,11.3,0.0,21,MEDIUM
Truck,91.8,265.8,None,0.761,79.0,2553.2,17,MEDIUM
Tanker,67.5,31.8,Bridge,0.9,15.9,0.0,17,MEDIUM
Auto,12.2,290.2,School,0.991,55.1,159.1,21,MEDIUM
Tanker,77.8,18.0,School,0.987,35.3,0.0,8,HIGH
Tanker,102.2,145.4,None,0.833,67.6,2939.0,11,MEDIUM
Bus,66.4,128.5,None,0.594,66.2,308.1,2,MEDIUM
Car,75.1,86.9,Hospital,0.818,56.8,29.4,16,MEDIUM
Ambulance,85.3,97.4,None,0.672,14.9,2271.1,10,MEDIUM
Tanker,34.9,0.0,None,0.796,15.6,2534.1,18,LOW
Car,0.4,88.6,Flood,0.56,34.3,0.0,19,MEDIUM
Truck,34.5,283.2,None,0.676,96.8,358.9,14,LOW
Police,75.6,177.3,None,0.986,25.0,2167.8,13,LOW
Bike,73.3,346.8,Construction,0.546,68.0,0.0,13,MEDIUM
Auto,39.6,343.5,None,0.485,43.2,1172.5,16,LOW
Car,5.8,275.6,Bridge,0.929,69.2,0.0,19,LOW
Lorry,96.8,77.5,None,0.677,68.6,2241.9,6,MEDIUM
Tanker,34.7,231.5,None,0.964,35.9,1166.6,10,LOW
Police,6.4,40.0,None,0.65,44.1,1078.3,5,LOW
Bike,2.1,44.6,Bridge,0.841,96.7,104.3,17,LOW
Container,74.5,112.0,Hospital,0.827,21.3,0.0,23,HIGH
Car,84.7,289.8,None,0.806,41.3,1178.0,2,MEDIUM
Auto,0.1,107.6,None,0.662,45.8,978.5,18,LOW
Ambulance,7.2,81.9,None,0.64,15.2,2877.6,3,LOW
Container,103.7,281.9,Accident,0.751,42.9,45.9,14,HIGH
Container,21.5,50.5,Hospital,0.788,83.0,0.0,3,HIGH
Auto,42.7,242.0,None,0.84,52.3,2681.4,16,LOW
Tanker,77.8,22.3,None,0.955,57.7,801.5,7,LOW
Bus,55.1,244.0,Hospital,0.694,59.2,87.1,20,MEDIUM
Bike,4.8,59.5,RoadBlock,0.718,96.5,0.0,11,MEDIUM
Bus,104.7,357.1,Bridge,0.858,49.3,0.0,4,MEDIUM
Bus,8.0,223.4,Flood,0.785,94.9,192.1,2,MEDIUM
Police,57.4,350.9,None,0.817,32.3,1957.8,18,LOW
Police,73.3,58.4,None,0.741,10.8,1135.4,20,LOW
Police,101.9,82.1,Hospital,0.96,75.6,0.0,14,HIGH
Tanker,47.2,10.5,Hairpin,0.895,45.8,0.0,16,MEDIUM
Police,109.3,16.1,None,0.978,92.7,2857.7,1,LOW
Tanker,63.5,128.2,Hospital,0.604,69.1,48.8,2,HIGH
Bike,21.1,329.6,None,0.961,13.2,608.1,14,LOW
Car,95.3,101.4,None,0.984,56.5,2300.5,18,LOW
Container,31.1,126.7,None,0.779,54.8,693.6,16,LOW
Car,65.0,66.8,None,0.871,16.2,2828.3,3,MEDIUM
Container,55.8,147.0,Hospital,0.92,79.4,131.3,20,MEDIUM
Lorry,16.7,314.4,None,0.942,21.5,2320.1,14,LOW
Auto,0.0,149.5,Accident,0.846,30.7,0.0,11,MEDIUM
Ambulance,80.2,347.1,None,0.521,48.0,978.5,10,MEDIUM
Car,35.8,255.8,None,0.93,82.6,2956.1,2,LOW
Bike,83.0,141.2,None,0.862,73.8,585.2,9,LOW
Auto,85.9,209.6,Flood,0.987,78.3,0.0,2,MEDIUM
Bus,56.5,182.7,None,0.74,92.9,2114.3,9,LOW
Ambulance,80.2,309.3,Flood,0.94,40.2,195.7,22,MEDIUM
Tanker,94.2,251.7,None,0.788,44.2,572.8,20,MEDIUM
Bus,86.5,263.7,Hospital,0.857,73.4,163.6,21,MEDIUM
Container,60.1,347.2,School,0.594,26.1,0.0,9,HIGH
Lorry,60.8,142.4,None,0.962,70.5,2410.4,15,LOW
Bus,27.6,224.3,Flood,0.75,37.6,0.0,9,MEDIUM
Truck,68.3,119.9,Hairpin,0.902,35.7,87.1,10,HIGH
Auto,75.4,119.4,Flood,0.747,70.4,126.8,12,MEDIUM
Bus,21.9,150.2,Accident,0.875,48.9,196.1,14,MEDIUM
Container,7.4,186.2,Bridge,0.532,48.0,0.0,19,MEDIUM
Police,43.7,94.9,Bridge,0.987,69.1,193.7,7,LOW
Police,66.4,27.6,RoadBlock,0.847,63.9,0.0,21,MEDIUM
Police,71.3,96.0,None,0.669,38.2,886.2,9,LOW
Bike,65.7,310.9,None,0.914,73.1,2072.3,5,LOW
Auto,44.9,5.5,Flood,0.899,45.9,0.0,1,MEDIUM
Container,20.7,241.4,Construction,0.873,92.3,87.4,16,MEDIUM
Tanker,28.5,156.0,Hospital,0.832,67.4,0.0,8,MEDIUM
Bike,78.5,32.8,Flood,0.782,32.4,0.0,2,HIGH
Lorry,29.8,88.9,None,0.624,70.6,335.3,11,LOW
Ambulance,104.7,301.0,Hairpin,0.974,76.9,0.0,16,HIGH
Ambulance,57.4,24.6,Hospital,0.834,34.2,0.0,7,MEDIUM
Truck,98.5,239.3,None,0.577,73.5,1340.0,4,MEDIUM
Tanker,48.7,233.1,None,0.867,37.1,1557.6,22,MEDIUM
Police,6.2,176.3,None,0.614,69.0,854.7,19,LOW
Truck,17.5,57.6,School,0.725,83.3,0.0,6,MEDIUM
Bike,12.1,103.8,None,0.742,42.1,1126.0,3,LOW
Lorry,91.1,283.4,None,0.915,94.7,2641.3,3,MEDIUM
Ambulance,11.3,141.0,None,0.955,70.9,2529.9,2,LOW
Police,94.5,268.7,School,0.961,26.1,139.1,16,MEDIUM
Bus,25.3,42.2,None,0.849,17.5,155.5,13,LOW
Container,18.2,319.8,Bridge,0.967,56.7,121.9,13,LOW
Truck,27.0,20.7,None,0.922,65.5,1714.9,2,LOW
Bike,45.7,154.0,School,0.588,55.0,0.0,15,MEDIUM
Ambulance,95.8,226.7,None,0.867,40.3,514.2,8,MEDIUM
Container,76.1,74.0,Hospital,0.798,47.7,0.0,7,HIGH
Truck,87.2,24.8,None,0.532,32.8,128.9,4,MEDIUM
Bike,79.6,192.3,None,0.85,40.0,2395.5,20,LOW
Police,49.6,65.9,None,0.874,44.9,2430.3,20,LOW
Bus,99.2,73.0,Hospital,0.919,97.1,14.2,14,MEDIUM
Lorry,71.3,26.6,Hairpin,0.919,60.3,0.0,1,HIGH
Tanker,24.2,125.8,None,0.921,75.0,2004.5,17,LOW
Car,78.0,3.0,RoadBlock,0.834,82.4,0.0,11,MEDIUM
Car,60.3,23.9,None,0.788,82.3,1602.2,8,LOW
Container,15.4,240.9,None,0.941,90.1,2274.9,12,LOW
Ambulance,99.9,272.4,None,0.764,66.9,553.8,5,LOW
Police,52.1,257.2,None,0.93,29.3,1332.1,16,LOW
Truck,99.9,182.0,None,0.72,84.0,2012.6,2,MEDIUM
Bus,87.6,97.6,None,0.794,39.2,881.6,10,MEDIUM
